EMMReg,Year,Overall-PeakMonth,Summer-PeakMonth,Summer-MaxHr,Summer-MinHr,Summer-PeakStartHr,Summer-PeakEndHr,Summer-TakeStartHr,Summer-TakeEndHr,Winter-PeakMonth,Winter-MaxHr,Winter-MinHr,Winter-PeakStartHr,Winter-PeakEndHr,Winter-TakeStartHr,Winter-TakeEndHr,Inter-MaxHr,Inter-MinHr,Inter-PeakStartHr,Inter-PeakEndHr,Inter-TakeStartHr,Inter-TakeEndHr
13,2035,8,8,19,10,18,21,9,12,1,8,14,7,10,13,16,19,10,18,21,9,12
14,2035,7,7,19,10,18,21,9,12,1,8,14,7,10,13,16,19,11,18,21,10,13
15,2035,7,7,19,10,18,21,9,12,12,7,13,6,9,12,15,19,11,18,21,10,13
16,2035,7,7,19,10,18,21,9,12,12,7,13,6,9,12,15,19,10,18,21,9,12
17,2035,8,8,19,4,18,21,3,6,2,19,14,18,21,13,16,18,3,17,20,2,5
18,2035,7,7,19,12,18,21,11,14,2,19,14,18,21,13,16,19,12,18,21,11,14
19,2035,7,7,19,12,18,21,11,14,2,19,14,18,21,13,16,19,12,18,21,11,14
20,2035,7,7,19,10,18,21,9,12,1,19,14,18,21,13,16,18,11,17,20,10,13
21,2035,8,8,19,11,18,21,10,13,12,19,12,18,21,11,14,19,11,18,21,10,13
22,2035,8,8,19,10,18,21,9,12,12,19,12,18,21,11,14,19,10,18,21,9,12
23,2035,8,8,17,4,16,19,3,6,2,8,1,7,10,24,3,8,2,7,10,1,4
24,2035,7,7,18,4,17,20,3,6,2,19,13,18,21,12,15,19,4,18,21,3,6
25,2035,7,7,19,11,18,21,10,13,2,20,13,19,22,12,15,20,11,19,22,10,13
1,2040,8,8,19,11,18,21,10,13,2,19,15,18,21,14,17,18,11,17,20,10,13
2,2040,8,8,19,11,18,21,10,13,3,19,13,18,21,12,15,19,11,18,21,10,13
3,2040,7,7,19,4,18,21,3,6,2,20,14,19,22,13,16,19,12,18,21,11,14
4,2040,7,7,19,11,18,21,10,13,2,7,14,6,9,13,16,19,12,18,21,11,14
5,2040,7,7,19,12,18,21,11,14,2,19,15,18,21,14,17,19,12,18,21,11,14
6,2040,8,8,19,9,18,21,8,11,2,20,14,19,22,13,16,19,10,18,21,9,12
7,2040,7,7,14,4,13,16,3,6,1,12,2,11,14,1,4,14,4,13,16,3,6
8,2040,7,7,19,5,18,21,4,7,12,19,4,18,21,3,6,19,5,18,21,4,7
9,2040,7,7,19,6,18,21,5,8,2,19,13,18,21,12,15,19,11,18,21,10,13
10,2040,7,7,19,5,18,21,4,7,2,19,15,18,21,14,17,19,4,18,21,3,6
11,2040,7,7,19,5,18,21,4,7,12,20,15,19,22,14,17,19,4,18,21,3,6
12,2040,8,8,19,6,18,21,5,8,2,20,12,19,22,11,14,19,10,18,21,9,12
13,2040,8,8,19,10,18,21,9,12,2,7,14,6,9,13,16,19,10,18,21,9,12
14,2040,7,7,19,11,18,21,10,13,12,7,13,6,9,12,15,19,11,18,21,10,13
15,2040,7,7,19,10,18,21,9,12,12,7,13,6,9,12,15,19,11,18,21,10,13
16,2040,7,7,19,10,18,21,9,12,12,7,13,6,9,12,15,19,10,18,21,9,12
17,2040,8,8,19,4,18,21,3,6,2,19,14,18,21,13,16,18,3,17,20,2,5
18,2040,7,7,19,12,18,21,11,14,2,19,13,18,21,12,15,19,11,18,21,10,13
19,2040,7,7,19,12,18,21,11,14,2,19,14,18,21,13,16,19,13,18,21,12,15
20,2040,7,7,19,10,18,21,9,12,1,19,14,18,21,13,16,20,11,19,22,10,13
21,2040,8,8,19,11,18,21,10,13,12,19,11,18,21,10,13,19,11,18,21,10,13
22,2040,8,8,19,10,18,21,9,12,12,19,11,18,21,10,13,19,10,18,21,9,12
23,2040,8,8,19,4,18,21,3,6,2,8,16,7,10,15,18,19,2,18,21,1,4
24,2040,7,7,19,4,18,21,3,6,2,19,13,18,21,12,15,19,3,18,21,2,5
25,2040,7,7,19,11,18,21,10,13,2,20,13,19,22,12,15,20,11,19,22,10,13
1,2045,8,8,19,10,18,21,9,12,2,19,15,18,21,14,17,18,11,17,20,10,13
2,2045,8,8,19,11,18,21,10,13,3,19,12,18,21,11,14,19,11,18,21,10,13
3,2045,7,7,19,4,18,21,3,6,2,3,14,2,5,13,16,19,12,18,21,11,14
4,2045,7,7,19,11,18,21,10,13,2,7,14,6,9,13,16,19,11,18,21,10,13
5,2045,7,7,19,12,18,21,11,14,2,19,15,18,21,14,17,19,12,18,21,11,14
6,2045,8,8,19,9,18,21,8,11,2,20,14,19,22,13,16,19,10,18,21,9,12
7,2045,8,8,14,4,13,16,3,6,1,12,2,11,14,1,4,14,4,13,16,3,6
8,2045,7,7,19,5,18,21,4,7,12,19,5,18,21,4,7,19,5,18,21,4,7
9,2045,7,7,19,6,18,21,5,8,2,19,13,18,21,12,15,19,11,18,21,10,13
10,2045,7,7,19,5,18,21,4,7,2,19,15,18,21,14,17,19,4,18,21,3,6
11,2045,7,7,19,5,18,21,4,7,12,20,15,19,22,14,17,19,4,18,21,3,6
12,2045,8,8,19,6,18,21,5,8,2,20,12,19,22,11,14,19,10,18,21,9,12
13,2045,8,8,19,10,18,21,9,12,2,7,13,6,9,12,15,19,10,18,21,9,12
14,2045,7,7,19,11,18,21,10,13,12,7,13,6,9,12,15,19,11,18,21,10,13
15,2045,7,7,19,10,18,21,9,12,12,7,13,6,9,12,15,19,11,18,21,10,13
16,2045,7,7,19,10,18,21,9,12,12,7,13,6,9,12,15,19,10,18,21,9,12
17,2045,8,8,19,4,18,21,3,6,2,19,14,18,21,13,16,18,12,17,20,11,14
18,2045,8,8,19,12,18,21,11,14,2,19,13,18,21,12,15,19,12,18,21,11,14
19,2045,7,7,19,12,18,21,11,14,2,19,14,18,21,13,16,19,12,18,21,11,14
20,2045,7,7,19,5,18,21,4,7,1,19,13,18,21,12,15,20,11,19,22,10,13
21,2045,8,8,19,11,18,21,10,13,12,19,11,18,21,10,13,19,11,18,21,10,13
22,2045,8,8,19,10,18,21,9,12,12,19,11,18,21,10,13,19,10,18,21,9,12
23,2045,8,8,19,5,18,21,4,7,2,8,15,7,10,14,17,19,2,18,21,1,4
24,2045,7,7,19,5,18,21,4,7,2,19,13,18,21,12,15,19,4,18,21,3,6
25,2045,7,7,19,11,18,21,10,13,2,20,13,19,22,12,15,20,11,19,22,10,13
1,2050,8,8,19,10,18,21,9,12,2,19,15,18,21,14,17,19,11,18,21,10,13
2,2050,8,8,19,11,18,21,10,13,3,19,12,18,21,11,14,19,11,18,21,10,13
3,2050,7,7,19,4,18,21,3,6,2,3,14,2,5,13,16,19,12,18,21,11,14
4,2050,7,7,19,11,18,21,10,13,2,7,14,6,9,13,16,19,11,18,21,10,13
5,2050,7,7,19,12,18,21,11,14,2,19,15,18,21,14,17,19,12,18,21,11,14
6,2050,8,8,19,9,18,21,8,11,2,20,14,19,22,13,16,19,10,18,21,9,12
7,2050,8,8,14,4,13,16,3,6,1,13,2,12,15,1,4,14,4,13,16,3,6
8,2050,7,7,19,5,18,21,4,7,12,19,6,18,21,5,8,19,5,18,21,4,7
9,2050,7,7,19,6,18,21,5,8,2,19,13,18,21,12,15,19,10,18,21,9,12
10,2050,7,7,19,5,18,21,4,7,2,19,15,18,21,14,17,19,4,18,21,3,6
11,2050,8,8,19,5,18,21,4,7,12,20,15,19,22,14,17,19,4,18,21,3,6
12,2050,8,8,19,6,18,21,5,8,2,20,12,19,22,11,14,19,10,18,21,9,12
13,2050,8,8,19,10,18,21,9,12,2,7,13,6,9,12,15,19,10,18,21,9,12
14,2050,7,7,19,11,18,21,10,13,12,7,13,6,9,12,15,19,10,18,21,9,12
15,2050,7,7,19,10,18,21,9,12,12,7,13,6,9,12,15,19,11,18,21,10,13
16,2050,7,7,19,10,18,21,9,12,12,7,13,6,9,12,15,19,10,18,21,9,12
17,2050,8,8,19,4,18,21,3,6,2,19,14,18,21,13,16,19,12,18,21,11,14
18,2050,8,8,19,12,18,21,11,14,2,19,13,18,21,12,15,19,12,18,21,11,14
19,2050,7,7,19,12,18,21,11,14,2,19,14,18,21,13,16,19,12,18,21,11,14
20,2050,7,7,19,5,18,21,4,7,1,19,12,18,21,11,14,19,11,18,21,10,13
21,2050,8,8,19,11,18,21,10,13,12,19,11,18,21,10,13,19,11,18,21,10,13
22,2050,8,8,19,10,18,21,9,12,12,19,11,18,21,10,13,19,10,18,21,9,12
23,2050,8,8,19,5,18,21,4,7,2,19,16,18,21,15,18,19,3,18,21,2,5
24,2050,7,7,19,5,18,21,4,7,2,19,4,18,21,3,6,19,4,18,21,3,6
25,2050,7,7,19,10,18,21,9,12,2,19,13,18,21,12,15,20,12,19,22,11,14
