End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total,AK,HI
cooling,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571952747449436,0.0,0.0,0.0,0.1562108466081976,0.0,0.0,0.0,0.0,0.0,0.0,0.2881689636656524,0.2457043135851083,0.0,0.0,0.0,0.0271165204940039,0.0910596026490066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345444782530875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooling,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0266524098055522,0.0280384935250089,0.0542552770187319,0.2482673953506791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1742505247316937,0.0,0.0,0.0,0.0,0.0,0.0,0.1611025305928478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734624371312027,0.0,0.0,0.0,0.0,0.1750821749633677,0.0,0.0,0.0,0.0588887568809156,0.0,1.0,0,0
cooling,6,0.2244389027431421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2829464799539612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1440629196240168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485516976788797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooling,7,0.0,0.0892173683515903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1166688663059258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1571422286744973,0.0,0.0,0.0,0.0,0.0,0.0,0.6369715366679864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
cooling,8,0.0,0.0,0.1577615043847753,0.0,0.3001988970255854,0.0,0.0,0.0,0.0,0.0,0.0,0.0641894946207395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0530693427357381,0.0,0.0,0.0,0.0,0.0,0.1099358105053792,0.1227737094295271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595244552933731,0.0,0.0,0.0,0.0,0.0,0.032546786004882,1.0,0,0
cooling,9,0.0,0.0,0.0,0.8373167898366246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0630762005981363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0996070095652388,0.0,0.0,0.0,0.9999999999999998,0,0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.2286855695215824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5889116242813992,0.0,0.0185131053298255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434570788268537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0993861444022215,0.0,0.0,0.0,0.0,0.0,0.0,0.0210464776381175,0.0,0.0,0.0,0.0,1.0,0,0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2603446107407873,0.0,0.0,0.4723934096340083,0.0,0.0,0.0,0.2672619796252043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290823013870141,0.1142672692059393,0.0,0.0,0.0,0.0,0.0,0.0,0.2377291312087955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245593442494669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111587143220455,0.0,0.0,1.0,0,0
water heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484250141774501,0.0,0.0,0.0,0.154817755322988,0.0,0.0,0.0,0.0,0.0,0.0,0.2939114296025158,0.2438521420838273,0.0,0.0,0.0,0.0244367685724596,0.101922977780069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326339124606897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0241492864983534,0.0224807903402854,0.1324259055982437,0.2335455543358946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525356750823271,0.0,0.0,0.0,0.0,0.0,0.0,0.1442810098792535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0674862788144895,0.0,0.0,0.0,0.0,0.1782217343578485,0.0,0.0,0.0,0.044873765093304,0.0,1.0000000000000002,0,0
water heating,6,0.2499101042790363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2750809061488673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1699628431020016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3050461464700946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,7,0.0,0.0755619523345891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1244126486898361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1473987215848961,0.0,0.0,0.0,0.0,0.0,0.0,0.6526266773906786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
water heating,8,0.0,0.0,0.1921436189121933,0.0,0.2902150728759331,0.0,0.0,0.0,0.0,0.0,0.0,0.0534571631709918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454585851404194,0.0,0.0,0.0,0.0,0.0,0.110024884464984,0.132954141485958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471293992179168,0.0,0.0,0.0,0.0,0.0,0.0286171347316032,1.0,0,0
water heating,9,0.0,0.0,0.0,0.8803455546684682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043030563573461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0766238817580707,0.0,0.0,0.0,1.0,0,0
cooking,1,0.0,0.0,0.0,0.0,0.0,0.2198074277854195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5731774415405777,0.0,0.046767537826685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0532324621733149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0823933975240715,0.0,0.0,0.0,0.0,0.0,0.0,0.0246217331499312,0.0,0.0,0.0,0.0,1.0,0,0
cooking,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2522644518672324,0.0,0.0,0.5005567090969276,0.0,0.0,0.0,0.24717883903584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
