Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI,Total
pkg_terminal_HP-cool,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1598998133974704,0.250159242675532,0.535615397821229,0.0543255461057686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_HP-cool,cooling,3,0.0,0.0,0.1188187034174352,0.229044068647447,0.1061621858738902,0.0,0.0,0.0,0.0,0.0,0.4777146398334823,0.0682604022277451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_HP-cool,cooling,4,0.0,0.0,0.2523932207288784,0.1852607316385206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3178056060620585,0.2417533852704523,0.0,0.0,0.0,0.0,0.00278705630009,0.0,0.0,0.0
pkg_terminal_HP-cool,cooling,5,0.0,0.4475731804490567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322936588455584,0.0330553865993121,0.0,0.1332626795951536,0.2035618309646001,0.1483514738643337,0.0019017896819851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_HP-cool,cooling,6,0.0,0.0,0.0,0.0,0.0,0.0621999209401198,0.0,0.0,0.0,0.0,0.0124922150614182,0.0,0.0,0.0,0.3102728192664146,0.6150350447320472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_HP-cool,cooling,7,0.6895835086886865,0.0,0.0,0.0,0.0,0.1639634485354164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1364029490061291,0.0,0.0,0.010050093769768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pkg_terminal_HP-cool,cooling,8,0.0,0.0,8.1695593165755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062601892929482,0.0,0.0012889594391339,0.5399862793951148,0.0,0.0,0.0492980630339461,0.1455145256432051,0.257570287602486,0.0,0.0
pkg_terminal_HP-cool,cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036392697455121,0.241598973776573,0.3659375374580082,0.3492684460427189,0.0,0.0,0.0395557729771877,0.0
comm_GSHP-cool,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
comm_GSHP-cool,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492765610428711,0.1220034112512758,0.3377951895662865,0.0474357887537267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
