End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,AK_HI
water heating,4,0.0,0.0,0.3189540648780519,0.1763274679345113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2994366504871682,0.1996586056977093,0.0,0.0,0.0,0.0,0.0056232110025593,0.0,0.0
water heating,5,0.0,0.3591870037232711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0980496514656255,0.0497889374570932,0.0,0.0615444430307609,0.1951437133387391,0.2330678417952209,0.003218409189289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water heating,6,0.0,0.0,0.0,0.0,0.0,0.1146734107138878,0.0,0.0,0.0,0.0,0.0144763141690419,0.0,0.0,0.0,0.2902375849940136,0.5806126901230566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water heating,7,0.4402288384758774,0.0,0.0,0.0,0.0,0.2093903904870739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3415087153310405,0.0,0.0,0.008872055706008,0.0,0.0,0.0,0.0,0.0,0.0
water heating,8,0.0,0.0,0.0042423296218967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019716238966288,0.0,0.0129164951775081,0.2365088572049342,0.0,0.0,0.1854426930310581,0.3253128593594743,0.2336051417084996,0.0
water heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015241708773681,0.1136023151816428,0.0817842608404878,0.761963750099093,0.0,0.0,0.0411255030014081
misc,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2313655666722952,0.2746010121923305,0.4371784999467474,0.0568549211886268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misc,3,0.0,0.0,0.0906147087102615,0.1768935568038359,0.1941127121902993,0.0,0.0,0.0,0.0,0.0,0.4251558583564481,0.1132231639391551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misc,4,0.0,0.0,0.3687988999737269,0.1573907333999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2496908595048476,0.2195672958582732,0.0,0.0,0.0,0.0,0.0045522112631565,0.0,0.0
misc,5,0.0,0.3581875832846297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661220445368447,0.0485109924639282,0.0,0.1141569451276476,0.2362571751610603,0.1743597173353646,0.0024055420905247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misc,6,0.0,0.0,0.0,0.0,0.0,0.0868263576144851,0.0,0.0,0.0,0.0,0.0147582545052458,0.0,0.0,0.0,0.2868414741876823,0.6115739136925867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misc,7,0.6002794717958051,0.0,0.0,0.0,0.0,0.1512854715621953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2316673684514537,0.0,0.0,0.0167676881905458,0.0,0.0,0.0,0.0,0.0,0.0
misc,8,0.0,0.0,0.0012836102671576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047229201710578,0.0,0.0038585802724399,0.3196001216336869,0.0,0.0,0.0895463230988071,0.3034196743352971,0.2775687702215532,0.0
misc,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012954353292714,0.3169626586963674,0.5117324413387824,0.1488362270715904,0.0,0.0,0.0211732375639883
