End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,Total
water heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557819187825923,0.0,0.0,0.0,0.1483434274744839,0.0,0.0,0.0,0.0,0.0,0.0,0.3137828057962933,0.2159203512854572,0.0,0.0,0.0,0.0411987491180755,0.0765199716295354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484527759135622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072324724812208,0.0509718891504663,0.2723784794345582,0.0640024800135916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1847109555631555,0.0,0.0,0.0,0.0,0.0,0.0,0.1984550783832164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389886742108743,0.0,0.0,0.0,0.0,0.1658193926482395,0.0,0.0,0.0,0.0174405781146771,0.0,1.0000000000000002
water heating,6,0.0,0.2779144770974796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505180091196231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2498645697715549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3217029440113424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,7,0.0,0.0,0.1078689716595153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0864444144461784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1252268383118094,0.0,0.0,0.0,0.0,0.0,0.0,0.6804597755824969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
water heating,8,0.0,0.0,0.0,0.2161027909758436,0.0,0.2618473691553432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0532396655547434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1404427156714992,0.0,0.0,0.0,0.0,0.0,0.1232580795634108,0.1088530867920608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0451201267848784,0.0,0.0,0.0,0.0,0.0,0.0511361655022205,1.0
water heating,9,0.0133846298179104,0.0,0.0,0.0,0.7663059104076807,0.0,0.0,0.0,0.0,0.0,0.0,0.012693856300177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693229698638315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1382926336104003,0.0,0.0,0.0,1.0
misc,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2254852774802166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5045760742282039,0.0,0.1032030644105856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0795458536806828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0593900794969002,0.0,0.0,0.0,0.0,0.0,0.0,0.0277996507034105,0.0,0.0,0.0,0.0,1.0
misc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132925234345017,0.0,0.0,0.5252894916848634,0.0,0.0,0.0,0.3417852739701195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
misc,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2061587687173108,0.169839113737032,0.0,0.0,0.0,0.0,0.0,0.0,0.1866540063855008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3185002914793227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1188478196808335,0.0,0.0,1.0
misc,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183928418562044,0.0,0.0,0.0,0.1505538175620717,0.0,0.0,0.0,0.0,0.0,0.0,0.2450814711082197,0.2713646437726953,0.0,0.0,0.0,0.0281440746552747,0.0981823923228899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0227451820168044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
misc,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284356452803372,0.0049106924920972,0.401464674456583,0.1268788113092821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763694717130915,0.0,0.0,0.0,0.0,0.0,0.0,0.1412279349274345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807101867070101,0.0,0.0,0.0,0.0,0.1147925586376812,0.0,0.0,0.0,0.0252100244764829,0.0,1.0
misc,6,0.0,0.2483406824058993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1831693404263988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1597723835501117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087175936175899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
misc,7,0.0,0.0,0.0907082143826794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0840614525945832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123420503705017,0.0,0.0,0.0,0.0,0.0,0.0,0.7018098293177204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
misc,8,0.0,0.0,0.0,0.2775133090753455,0.0,0.2596348478657065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0407378863233554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547589240596268,0.0,0.0,0.0,0.0,0.0,0.0732034964719378,0.1580968746074032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088445089331122,0.0,0.0,0.0,0.0,0.0,0.0272101526635123,1.0
misc,9,0.0144443760776876,0.0,0.0,0.0,0.6891175119997938,0.0,0.0,0.0,0.0,0.0,0.0,0.0372591712550249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0830788912597776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1761000494077161,0.0,0.0,0.0,1.0
