End use,CDIV,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,AK,HI
water heating,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0254443930272244,0.142942311005124,0.0031231269776395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4858996718680626,0.0,0.0,0.0,0.0,0.0,0.0,0.1105567809367466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060689208426269,0.0,0.0,0.0,0.0,0.2082476223288848,0.0,0.0,0.0,0.0177171730136908,0.0,0,0
water heating,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7335971263400124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664028736599876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,8,0.0,0.0,0.0128956103667597,0.0,0.4106609955223917,0.0,0.0,0.0,0.0,0.0,0.0,0.249659312414828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1559153961217061,0.0,0.0,0.0,0.0,0.0,0.0,0.1708686855743142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
water heating,9,0.0,0.0,0.0,0.2007524855275645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2701471713520134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529100343120422,0.0,0.0,0.0,0,0
misc,1,0.0,0.0,0.0,0.0,0.0,0.2029519333786469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5323798763934087,0.0,0.0157142309059997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0692995149303088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124850616744553,0.0,0.0,0.0,0.0,0.0,0.0,0.0548038276470827,0.0,0.0,0.0,0.0,0,0
misc,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3462725589090404,0.0,0.0,0.3204198547715462,0.0,0.0,0.0,0.3333075863194134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654926907286409,0.1824683779135266,0.0,0.0,0.0,0.0,0.0,0.0,0.2140505033350053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2292947733964408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1086936546263862,0.0,0.0,0,0
misc,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875571966574898,0.0,0.0,0.0,0.1903547602970644,0.0,0.0,0.0,0.0,0.0,0.0,0.1753318387923588,0.3948763219345031,0.0,0.0,0.0,0.0066333247094558,0.0293053954611112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159411621480166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,5,0.0,0.0,0.0,0.0,0.0,0.0,0.00447680301622,0.0172125574358169,0.405076370053853,0.2219784663358291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0794129910359051,0.0,0.0,0.0,0.0,0.0,0.0,0.1005570578831867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050339825699041,0.0,0.0,0.0,0.0,0.0868448347895054,0.0,0.0,0.0,0.0341010937506424,0.0,0,0
misc,6,0.1861969426516874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2640106103516222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1424377393165285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4073547076801617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,7,0.0,0.0397338728949106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1107098920587381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1248520274244972,0.0,0.0,0.0,0.0,0.0,0.0,0.7247042076218541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
misc,8,0.0,0.0,0.5688053371126965,0.0,0.0550783585428553,0.0,0.0,0.0,0.0,0.0,0.0,0.0188699887972141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091739493274543,0.0,0.0,0.0,0.0,0.0,0.1092603507836969,0.2017796325400171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0354149552848757,0.0,0.0,0.0,0.0,0.0,0.0016174276111897,0,0
misc,9,0.0,0.0,0.0,0.9096662673255024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288546514940709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0614790811804266,0.0,0.0,0.0,0,0
