Technology,End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
res_type_central_AC,cooling,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1162513327305482,0.0,0.0,0.0,0.2581806782675139,0.0,0.0,0.0,0.0,0.0,0.0,0.1478200162661897,0.3383380688982191,0.0,0.0,0.0,0.0191999807307374,0.0944214322528581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0257884908539334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
res_type_central_AC,cooling,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0198109412331755,0.0086979659943605,0.1602352035926182,0.2656288463289522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0900310095414426,0.0,0.0,0.0,0.0,0.0,0.0,0.2059850481871636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0966510109647357,0.0,0.0,0.0,0.0,0.132904122619651,0.0,0.0,0.0,0.0200558515379008,0.0
res_type_central_AC,cooling,6,0.0,0.2961162092225103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1452537454218684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2195235232798037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3391065220758175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
res_type_central_AC,cooling,7,0.0,0.0,0.086020589375716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0880740350118364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1263372964561317,0.0,0.0,0.0,0.0,0.0,0.0,0.6995680791563158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
res_type_central_AC,cooling,8,0.0,0.0,0.0,0.3732864030665943,0.0,0.1784555411802954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462540703798827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028390914553272,0.0,0.0,0.0,0.0,0.0,0.0954196559541549,0.144564642073772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1020980371591261,0.0,0.0,0.0,0.0,0.0,0.0315307356329023
res_type_central_AC,cooling,9,0.0015699805586293,0.0,0.0,0.0,0.8635332305603953,0.0,0.0,0.0,0.0,0.0,0.0,0.0295918673514827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454735211526215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0598314003768709,0.0,0.0,0.0
wall-window_room_AC,cooling,1,0.0,0.0,0.0,0.0,0.0,0.0,0.248015916210549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510280785553041,0.0,0.0715654703901315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0805756669359675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650971553218958,0.0,0.0,0.0,0.0,0.0,0.0,0.024465005588415,0.0,0.0,0.0,0.0
wall-window_room_AC,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1861620909154682,0.0,0.0,0.5596255386681741,0.0,0.0,0.0,0.2542123704163577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wall-window_room_AC,cooling,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2166800750168775,0.1727390486709351,0.0,0.0,0.0,0.0,0.0,0.0,0.2326220776587307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2932244979800573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0847343006733993,0.0,0.0
wall-window_room_AC,cooling,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1162513327305482,0.0,0.0,0.0,0.2581806782675139,0.0,0.0,0.0,0.0,0.0,0.0,0.1478200162661897,0.3383380688982191,0.0,0.0,0.0,0.0191999807307374,0.0944214322528581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0257884908539334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
