Technology,End use,CDIV,TRE,FRCC,MISW,MISC,MISE,MISS,ISNE,NYCW,NYUP,PJME,PJMW,PJMC,PJMD,SRCA,SRSE,SRCE,SPPS,SPPC,SPPN,SRSG,CANO,CASO,NWPP,RMRG,BASN,Total
ASHP,cooling,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1248506571087216,0.1436678614097969,0.6251493428912783,0.1063321385902031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,cooling,3,0.0,0.0,0.0881346263548203,0.3205932686822589,0.0858528237307472,0.0,0.0,0.0,0.0,0.0,0.4355390758699372,0.0698802053622361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,cooling,4,0.0,0.0,0.2294138798993168,0.2578209277238403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2819129809421071,0.229054297015462,0.0,0.0,0.0,0.0,0.0017979144192736,0.0,0.0
ASHP,cooling,5,0.0,0.3868910872520981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468845234188194,0.056988138215575,0.0,0.1029584134277275,0.2545126353790614,0.1481082094800506,0.0036569928266679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,cooling,6,0.0,0.0,0.0,0.0,0.0,0.0571916693784575,0.0,0.0,0.0,0.0,0.0171656361861373,0.0,0.0,0.0,0.3113407094044907,0.6143019850309144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,cooling,7,0.6231688381826774,0.0,0.0,0.0,0.0,0.2081279956794707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1612772564639168,0.0,0.0,0.007425909673935,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,cooling,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0198347107438016,0.0,0.0001836547291092,0.7072543617998164,0.0,0.0,0.0196510560146923,0.0618916437098255,0.1911845730027548,0.0
ASHP,cooling,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051097084460474,0.2515779981965735,0.2965133754132852,0.4467989179440937,0.0,0.0,0.0
ASHP,heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1244788564621798,0.1441334127456819,0.6247766527695057,0.1066110780226325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,heating,3,0.0,0.0,0.0877093386318478,0.3213170593244394,0.0860062446778314,0.0,0.0,0.0,0.0,0.0,0.4348566562588702,0.070110701107011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,heating,4,0.0,0.0,0.2293906810035842,0.257347670250896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2824372759856631,0.228673835125448,0.0,0.0,0.0,0.0,0.0021505376344086,0.0,0.0
ASHP,heating,5,0.0,0.3859686109159053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469196533145935,0.0569922698524244,0.0,0.1030686343405949,0.2549777465448583,0.1484188334504567,0.0036542515811665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,heating,6,0.0,0.0,0.0,0.0,0.0,0.0571590724825685,0.0,0.0,0.0,0.0,0.0171882600940489,0.0,0.0,0.0,0.3118209826495865,0.613831684773796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,heating,7,0.6227710113720476,0.0,0.0,0.0,0.0,0.2081959491285916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1616311149989906,0.0,0.0,0.00740192450037,0.0,0.0,0.0,0.0,0.0,0.0
ASHP,heating,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199560600512632,0.0,0.0001830831197363,0.7070670084218235,0.0,0.0,0.0195898938117905,0.0618820944708897,0.1913218601244965,0.0
ASHP,heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050974512743628,0.2512743628185907,0.2961019490254872,0.4475262368815592,0.0,0.0,0.0
resistance heat,heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resistance heat,heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2119833143723928,0.1709012767033244,0.5398811781064341,0.0772342308178485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resistance heat,heating,3,0.0,0.0,0.1167381279831728,0.2596877275301351,0.0956233314456759,0.0,0.0,0.0,0.0,0.0,0.3897742901059784,0.1381765229350376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resistance heat,heating,4,0.0,0.0,0.2519714144898965,0.2428536224741251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27180877279448,0.2281912272055199,0.0,0.0,0.0,0.0,0.0051749630359783,0.0,0.0
resistance heat,heating,5,0.0,0.4243473705654667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541020342830534,0.0592823258927272,0.0,0.1077384243764733,0.1963563342161171,0.1552632344809522,0.0029102761852099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resistance heat,heating,6,0.0,0.0,0.0,0.0,0.0,0.0669923995656894,0.0,0.0,0.0,0.0,0.0231270358306188,0.0,0.0,0.0,0.2820846905537459,0.6277958740499457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
resistance heat,heating,7,0.6161778378835263,0.0,0.0,0.0,0.0,0.2160848618037359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1603414757839574,0.0,0.0,0.0073958245287803,0.0,0.0,0.0,0.0,0.0,0.0
resistance heat,heating,8,0.0,0.0,0.0002383222116301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107244995233555,0.0,0.0013107721639656,0.4257626310772164,0.0,0.0,0.0698284080076263,0.2290276453765491,0.2631077216396568,0.0
resistance heat,heating,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041498559077809,0.2603458213256484,0.2866282420749279,0.4488760806916426,0.0,0.0,0.0
all,heating,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1859082438548229,0.1629248380512911,0.5651788091223712,0.0859881089715147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,heating,3,0.0,0.0,0.1102996726265424,0.2733568370687484,0.0934903047091412,0.0,0.0,0.0,0.0,0.0,0.3997733568370687,0.1230798287584991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,heating,4,0.0,0.0,0.2461947551806345,0.2465615257656335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2745277828718137,0.2283146891619292,0.0,0.0,0.0,0.0,0.0044012470199889,0.0,1.0
