End use,CDIV,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
cooling,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1196297633277408,0.0,0.0,0.0,0.1999809252862054,0.0,0.0,0.0,0.0,0.0,0.0,0.1391828720221476,0.4165315621308691,0.0,0.0,0.0,0.0167336935281858,0.0848840323135237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0230571513913272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooling,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058832513165757,0.0099623831135696,0.440369884787315,0.1553316010332113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059911698791211,0.0,0.0,0.0,0.0,0.0,0.0,0.139775568579676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082411905914226,0.0,0.0,0.0,0.0,0.0895123544708197,0.0,0.0,0.0,0.0168413519933954,0.0
cooling,6,0.0,0.3039243801709601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1872328573711769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1882273834076549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320615379050208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooling,7,0.0,0.0,0.0661514889468617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1308369560287731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1005913552880458,0.0,0.0,0.0,0.0,0.0,0.0,0.7024201997363193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cooling,8,0.0,0.0,0.0,0.5591102204782968,0.0,0.0894656627037936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249449203168322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097547135299894,0.0,0.0,0.0,0.0,0.0,0.0676233900328294,0.1789408487454327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0643962899282138,0.0,0.0,0.0,0.0,0.0,0.0057639542646119
cooling,9,5.1070861896056815e-06,0.0,0.0,0.0,0.8472893350617611,0.0,0.0,0.0,0.0,0.0,0.0,0.0270987587041766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603475558370579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0652592433108146,0.0,0.0,0.0
water heating,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2610211634817266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4047811500786136,0.0,0.1070951290481339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1197179055199725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0477951771527042,0.0,0.0,0.0,0.0,0.0,0.0,0.059589474718849,0.0,0.0,0.0,0.0
water heating,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1599954066114673,0.0,0.0,0.3779356021718384,0.0,0.0,0.0,0.4620689912166942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water heating,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2045084316949164,0.178857748946336,0.0,0.0,0.0,0.0,0.0,0.0,0.1826548496509554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2623641818763433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1716147878314487,0.0,0.0
water heating,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1398945175892763,0.0,0.0,0.0,0.0921345564536876,0.0,0.0,0.0,0.0,0.0,0.0,0.2514492683428961,0.321076814047491,0.0,0.0,0.0,0.0600670222142016,0.0812215205369048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0541563008155421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
